42209,UFC Fight Night 70 - Machida vs. Romero,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",6/27/15
42211,UFC 189 - Mendes vs. McGregor,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",7/11/15
42221,UFC 190 - Rousey vs. Correia,"HSBC Arena, Rio de Janeiro, Rio de Janeiro, Brazil",8/1/15
42223,UFC Fight Night 73 - Teixeira vs. St. Preux,"Bridgestone Arena, Nashville, Tennessee, United States",8/8/15
42225,UFC Fight Night 74 - Holloway vs. Oliveira,"SaskTel Centre, Saskatoon, Saskatchewan, Canada",8/23/15
42229,UFC 191 - Johnson vs. Dodson 2,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",9/5/15
45847,UFC Fight Night 75 - Barnett vs. Nelson,"Saitama Super Arena, Saitama, Japan",9/26/15
42235,UFC 192 - Cormier vs. Gustafsson,"Toyota Center, Houston, Texas, United States",10/3/15
47107,UFC Fight Night 76 - Holohan vs. Smolka,"3Arena, Dublin, Leinster, Ireland",10/24/15
42237,UFC Fight Night 77 - Belfort vs. Henderson 3,"Geraldo Jose de Almeida (Ibirapuera) State Gymnasium, Sao Paulo, Sao Paulo, Brazil",11/7/15
42239,UFC 193 - Rousey vs. Holm,"Etihad Stadium, Melbourne, Victoria, Australia",11/14/15
42241,UFC Fight Night 78 - Magny vs. Gastelum,"Monterrey Arena, Monterrey, Nuevo Leon, Mexico",11/21/15
42243,UFC Fight Night 79 - Henderson vs. Masvidal,"Olympic Gymnastics Arena, Seoul, South Korea",11/28/15
47669,UFC Fight Night 80 - Namajunas vs. VanZant,"The Chelsea at the Cosmopolitan, Las Vegas, Nevada, United States",12/10/15
47439,UFC - The Ultimate Fighter 22 Finale,"The Chelsea at the Cosmopolitan, Las Vegas, Nevada, United States",12/11/15
42249,UFC on Fox 17 - Dos Anjos vs. Cerrone 2,"Amway Center, Orlando, Florida, United States",12/19/15
47465,UFC 195 - Lawler vs. Condit,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",1/2/16
47783,UFC Fight Night 81 - Dillashaw vs. Cruz,"TD Garden, Boston, Massachusetts, United States",1/17/16
47933,UFC on Fox 18 - Johnson vs. Bader,"Prudential Center, Newark, New Jersey, United States",1/30/16
47929,UFC Fight Night 82 - Hendricks vs. Thompson,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",2/6/16
47935,UFC Fight Night 83 - Cerrone vs. Oliveira,"Consol Energy Center, Pittsburgh, Pennsylvania, United States",2/21/16
